_date,total_views,unique_views
2026-05-25,0,0
2026-05-26,0,0
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,1,1
2026-06-01,0,0
2026-06-02,0,0
2026-06-03,0,0
2026-06-04,0,0
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,6,4
2026-06-08,5,2
2026-06-09,3,2
2026-06-10,1,1
2026-06-11,1,1
2026-06-12,0,0
2026-06-13,2,2
2026-06-14,18,3
2026-06-15,1,1
2026-06-16,3,3
2026-06-17,7,3
2026-06-18,1,1
2026-06-19,10,3
2026-06-20,2,2
2026-06-21,2,2
2026-06-22,5,4
2026-06-23,2,1
2026-06-24,5,2
2026-06-25,4,3
2026-06-26,0,0
2026-06-27,8,4
2026-06-28,2,2
2026-06-29,1,1
2026-06-30,4,4
2026-07-01,3,3
2026-07-02,2,2
2026-07-03,5,4
2026-07-04,4,3
2026-07-05,2,2
2026-07-06,3,2
2026-07-07,0,0
2026-07-08,5,5
